Experience_in_Months,Attrition_Status,Gender,Employee_Age,Employee_Industry,Employee_Profession,Source_of_Hire,Coach,Head_Supervisor_Gender,Wage_Color,Way_to_Work,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
7.030800821,1,m,35,Banking,HR,Recommendation,no,f,white,bus,6.2,4.1,5.7,7.1,8.3
22.9650924,1,m,33,Banking,HR,JobSite,no,m,white,bus,6.2,4.1,5.7,7.1,8.3
15.93429158,1,f,35,PowerGeneration,HR,Recommendation,no,m,white,bus,6.2,6.2,2.6,4.8,8.3
15.93429158,1,f,35,PowerGeneration,HR,Recommendation,no,m,white,bus,5.4,7.6,4.9,2.5,6.7
8.410677618,1,m,32,Retail,Commercial,JobSiteVacantPosition,yes,f,white,bus,3,4.1,8,7.1,3.7
8.969199179,1,f,42,Manufacturing,HR,JobSite,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
8.969199179,1,f,42,Manufacturing,HR,JobSite,yes,m,white,bus,6.2,6.2,4.1,5.6,6.7
120.4435318,1,f,28,Retail,HR,EmployeeRecommendation,no,m,white,bus,3.8,5.5,8,4,4.4
8.607802875,1,f,29,Banking,HR,JobSite,no,f,white,bus,8.6,6.9,2.6,4,7.5
4.435318275,1,f,30,Consulting,Marketing,JobSiteVacantPosition,yes,m,white,bus,5.4,5.5,3.3,7.9,8.3
67.35112936,1,f,40,Manufacturing,HR,Recommendation,no,m,white,car,8.6,4.1,1.8,7.1,6.7
20.92813142,1,m,23,Banking,HR,EmployeeRecommendation,yes,m,white,bus,3,6.9,4.9,4.8,7.5
20.92813142,1,f,22,Consulting,HR,Recommendation,supervisor,f,white,foot,5.4,8.4,4.9,3.3,6
8.936344969,1,f,24,State,Etc,Advertising,yes,f,white,foot,7,6.2,4.1,7.1,9
33.57700205,1,f,25,Etc,HR,RecruitingAgency,supervisor,f,white,foot,9.4,1.2,4.1,5.6,6.7
16.39425051,1,f,28,Building,HR,JobSiteVacantPosition,no,m,white,car,8.6,5.5,4.9,4.8,5.2
